transaction_id,account_id,amount,currency,merchant,country
95750ce0-5b29-4cd9-b96e-176e9e4cf1e6,1388,14654.02,USD,IKEA,TR
a9f22490-4894-4fb4-8689-afaf229fa0c5,3408,15170.98,EUR,APPLE,US
ab4f743a-ca95-490d-a42c-c0170c2fac43,1616,6330.25,USD,IKEA,NL
0aafb274-f765-4c0d-a76a-8569828c3570,2396,19849.1,EUR,APPLE,TR
e1a167f5-bf74-42d1-ad35-5ad661b0d594,3480,4080.51,USD,UBER,US
772f24ad-55f1-469a-b8eb-0d0f0b18bc41,2466,16317.1,EUR,STEAM,RU
953e0834-1891-4862-92ae-4b7a8a2d8ecf,1570,16506.36,USD,UBER,DE
16988c92-9148-4dfa-8f1f-14b99912ce65,2779,11199.87,USD,NETFLIX,CA
7cc9d904-2ee1-40dd-868e-01f623e8d4d2,1751,10970.17,EUR,SPOTIFY,CA
400c6cfd-fb47-45f6-aa45-581d94bdb2fa,4954,9552.76,RUB,STEAM,RU
56d8e62a-becf-4ee7-9916-40cc4dcda7de,736,11225.86,USD,AMAZON,GB
c9e1e98d-afa8-4fbd-a24c-04776e065a45,588,17566.86,RUB,STEAM,RU
bf42ebcd-2fc0-4f3a-9bc8-e58cd430ef7b,87,2239.24,EUR,AMAZON,TR
3adf8488-ec88-4119-943d-af023131ebc3,3683,4342.03,USD,AIRBNB,CA
80ea3069-5f37-43ac-9920-2e9f3ef234ba,713,15747.46,RUB,SPOTIFY,US
15aaf453-ffe5-4d43-8a75-6331f8e3084e,2855,8945.08,EUR,UBER,US
e62c5f28-6559-4e47-9faa-6d4b6cf4d678,2810,10521.26,USD,ZARA,GB
255e2a7e-65a2-42c5-8c21-034b0f499fca,2817,15009.83,EUR,AIRBNB,DE
3534111e-4f74-4a55-93d0-90a930b816f7,3545,18192.83,USD,AIRBNB,US
d505e08c-6c2a-47b1-ac1f-edccf0cdea84,4097,17443.22,EUR,NETFLIX,TR
ced4cf45-db9f-4681-b86d-4d46726d1371,3813,4451.69,EUR,AMAZON,US
1d678408-eae5-4133-aa3a-93f371a8152c,4688,13048.99,USD,SPOTIFY,FR
076756f7-155d-401f-9cb5-23ab9d6981df,2857,17978.67,USD,ZARA,GB
7ac33643-c224-4e99-bda6-68fb722fd9f4,2445,5159.71,USD,APPLE,CA
539744c4-e6c5-472b-9403-6abeb3a8da49,195,9421.28,EUR,STEAM,TR
8c18f0be-b449-4a7e-b9e6-3c34446d2cc0,4692,19547.43,USD,BOOKING,CA
39819f1b-31ab-4b6f-b92d-104a09b4d811,3323,8723.42,RUB,SPOTIFY,TR
a9266632-f193-4b1b-a7a8-0c978ad77902,21,3894.8,EUR,UBER,DE
dde6baac-a23a-49da-a549-5f14e5bb8f10,4663,12963.92,USD,NETFLIX,US
2cd7791c-e718-4888-aeaf-bf9db1d06a7c,3067,16806.83,RUB,UBER,RU
e89b96c3-679d-4291-acf3-3f01a98bd28d,293,13989.1,RUB,MEGAMARKET,TR
a1cfb79a-0938-47af-b63b-c8f458e3aff3,142,17776.43,RUB,SPOTIFY,FR
2c135ed5-4ca6-45bd-9594-378fa93e639b,4587,13799.69,RUB,BOOKING,DE
2960f630-0021-47fb-9c20-a20cf2ea2e15,1810,15872.94,RUB,AIRBNB,FR
d2148bd2-1f0d-4c08-9a70-555e2b6cd601,392,10487.12,EUR,SPOTIFY,CA
f32bdc13-0691-42b9-be4c-d9ec2cc69cf3,3077,15952.39,EUR,STEAM,US
1e245904-7f7e-455c-bca4-23c82bca0352,3479,12311.99,RUB,AIRBNB,TR
0d21b07d-f617-424f-a03e-bef2dce8f9a6,1063,9767.9,USD,STEAM,AE
e8f4a4b8-8dab-4845-b8e4-d104daf16b35,3726,11654.83,EUR,UBER,GB
25ad1369-ad3f-4315-952d-749420421748,205,7420.94,USD,UBER,CA
b5f86e41-ca52-432e-80d6-4a70d18045bd,2047,18981.11,EUR,APPLE,GB
8d91db0e-e59d-446a-bf0f-e98d151e5cb4,2759,2532.86,USD,MEGAMARKET,DE
e141b8b6-aaf6-48d6-951f-efb1c3dc68ab,4005,11587.8,RUB,AIRBNB,AE
9bb2638c-811c-42b1-97b2-a8435764e73c,1156,19506.35,EUR,ZARA,RU
ea4000e5-b7fd-4c9e-ada4-8c08ca8d181c,3016,5333.03,EUR,APPLE,FR
c1eec9dd-db83-4b8f-9460-1aa9d0d02df7,203,2649.7,RUB,SPOTIFY,US
79b8e990-e5c9-4214-a1bd-1ea7a3d445b7,86,6161.57,RUB,BOOKING,GB
10e6e352-a192-4bf6-9256-77606b1979d9,1154,4557.23,RUB,APPLE,FR
9db822f1-d729-41ec-b1d0-98ef1e434aa5,2490,1698.66,RUB,ZARA,RU
b730aa41-221f-499b-9dc0-704d3d7b3cd8,4459,11825.57,EUR,APPLE,FR
ac6a1fe8-f94b-476f-9d2d-88ab1e73eec7,1214,3201.27,USD,MEGAMARKET,CA
df4f9b6d-415f-4cd1-a30a-e9449cd41783,4260,17402.54,EUR,AMAZON,AE
8a716993-776f-42ca-b0de-5e80e54f8f2a,4221,7521.24,RUB,STEAM,FR
2568394c-9294-439c-b7aa-bd50187a606a,487,11923.2,EUR,GOOGLE,US
af45cd5e-00d9-4188-9cdb-e01ff05def37,3577,6391.19,EUR,STEAM,AE
eec1576d-f465-49a4-9d79-30b92b915910,1471,19490.66,RUB,ZARA,GB
